The great gatsby,E.scott-Fitzgerald
A House for Mr. Biswas,V. S. Naipaul
A Tale for the Time Being, Ruth Ozeki
Bleak House,Charles Dickens
Charlotte’s Web,E.B. White
The Wisdom of No Escape,Pema Chödrön
Billy Lynn’s Long Halftime Walk,Ben Fountain
True Grit,Charles Portis
The Light Between Oceans, M.L. Stedman
Anna Karenina,Leo Tolstoy
The Information,James Gleick
St. Lucy’s Home for Girls Raised by Wolves,Karen Russell
Beloved,Toni Morrison
Kindly Bent to Ease Us,Longchenpa 
The Eight,Katherine Neville
Wave,Sonali Deraniyagala
Demonic Males: Apes and the Origins of Human Violence,Richard Wrangham and Dale Peterson
The Middlesteins,Jami Attenberg
Flow,Mihaly Csikszentmihalyi
The Fault in Our Stars, John Green
Howards End,E.M. Forster
One Flew Over the Cuckoo’s Nest,Ken Kesey
A Constellation of Vital Phenomena,Anthony Marra
My Stroke of Insight,Jill Bolte Taylor
Telegraph Avenue,Michael Chabon
In Our Time, Ernest Hemingway 
Mrs. Dalloway,Virginia Woolf
Girls Like Us: Fighting for a World Where Girls Are Not for Sale,Rachel Lloyd
The Count of Monte Cristo,Alexandre Dumas
The Wind in the Willows,Kenneth Grahame
